"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","ARM_F1_stn",343,366,1,3,3,1.2,23,5
"2","ARM_F10_stn",1270,1367,1,14,1,0.4,49.4667,15
"3","ARM_F11_stn",1383,1477,1,15,1,0.0667,49.5333,15
"4","ARM_F12_stn",1045,1318,1,14,1,0.0667,23.2667,15
"5","ARM_F13_stn",1179,1461,1,15,1,0.0667,35.0667,15
"6","ARM_F14_stn",1302,1449,1,15,6,0.2,57,1
"7","ARM_F15_stn",1249,1480,1,15,1,0.0667,56.0667,15
"8","ARM_F16_stn",1467,1481,1,15,15,0.0667,23,1
"9","ARM_F17_stn",1426,1483,1,15,11,0.0667,95,1
"10","ARM_F18_stn",1276,1477,1,15,11,0.0667,20,1
"11","ARM_F19_stn",1486,1483,1,15,15,0.0667,15,1
"12","ARM_F2_stn",1191,1391,1,15,2,0.0667,23.3571,14
"13","ARM_F20_stn",1312,1480,1,15,1,0.0667,33.5333,15
"14","ARM_F21_stn",1080,1438,1,15,1,0.0667,26.1333,15
"15","ARM_F22_stn",897,1298,1,15,1,0.0667,31.9333,15
"16","ARM_F23_stn",1390,1484,1,15,11,0.0667,50,1
"17","ARM_F24_stn",1244,1474,1,15,6,0.0667,31,1
"18","ARM_F3_stn",1239,1473,1,15,2,0.1333,32,1
"19","ARM_F4_stn",1304,1481,1,15,1,0.0667,8,1
"20","ARM_F5_stn",196,249,1,2,1,0.7333,11.8667,15
"21","ARM_F6_stn",1235,1387,1,15,1,0.0667,25.4,15
"22","ARM_F7_stn",1180,1414,1,15,1,0.0667,21.6667,15
"23","ARM_F8_stn",1122,1279,1,15,1,0.0667,40.7333,15
"24","ARM_F9_stn",1273,1418,1,15,1,0.2,61.4667,15
