"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","ATRBO_F1_stn",835,996,1,4,3,3.2667,40.6,5
"2","ATRBO_F10_stn",1319,1372,1,14,15,0.2667,74,1
"3","ATRBO_F11_stn",1269,1398,1,14,15,0.3333,69,1
"4","ATRBO_F12_stn",1084,1231,1,14,14,0.3333,63,1
"5","ATRBO_F13_stn",1352,1434,1,13,10,0.3333,85,1
"6","ATRBO_F14_stn",1358,1442,1,15,4,0.1333,75.4,5
"7","ATRBO_F15_stn",1368,1454,1,15,15,0.0667,75,1
"8","ATRBO_F16_stn",1365,1439,1,14,15,0.2,78,1
"9","ATRBO_F17_stn",1355,1450,1,15,15,0.2667,47,1
"10","ATRBO_F18_stn",1353,1445,1,15,15,0.2667,72,1
"11","ATRBO_F19_stn",1345,1451,1,15,15,0.3333,40,1
"12","ATRBO_F2_stn",1348,1394,1,15,15,0.2,67,1
"13","ATRBO_F20_stn",1350,1413,1,14,15,0.2,84,1
"14","ATRBO_F21_stn",1287,1364,1,15,12,0.1333,85,1
"15","ATRBO_F22_stn",1218,1316,1,8,8,1.2,70.3333,3
"16","ATRBO_F23_stn",1356,1454,1,14,15,0.2667,77,1
"17","ATRBO_F24_stn",1335,1447,1,14,15,0.3333,40,1
"18","ATRBO_F3_stn",1360,1425,1,14,15,0.2667,80,1
"19","ATRBO_F4_stn",1359,1436,1,15,15,0.0667,91,1
"20","ATRBO_F5_stn",438,452,1,2,3,0.9333,26.8,5
"21","ATRBO_F6_stn",1383,1428,1,14,15,0.0667,81,1
"22","ATRBO_F7_stn",1345,1459,1,15,15,0.1333,78,1
"23","ATRBO_F8_stn",1211,1307,1,13,10,0.1333,76,1
"24","ATRBO_F9_stn",1252,1336,1,12,13,0.5333,64,1
