"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","TREvol_F1_stn",767,1314,1,15,3,4.1333,18.6,5
"2","TREvol_F10_stn",1321,1400,1,15,15,0.2667,50,1
"3","TREvol_F11_stn",1230,1452,1,15,15,0.1333,44,1
"4","TREvol_F12_stn",1376,1469,1,14,11,0.1333,46.5,2
"5","TREvol_F13_stn",1434,1478,1,15,11,0.2,29,1
"6","TREvol_F14_stn",1422,1473,1,15,4,0.0667,79,3
"7","TREvol_F15_stn",1379,1480,1,15,11,0.0667,86,1
"8","TREvol_F16_stn",1380,1469,1,15,15,0.2,32,1
"9","TREvol_F17_stn",1416,1481,1,15,13,0.1333,44,1
"10","TREvol_F18_stn",1403,1479,1,15,15,0.0667,50,1
"11","TREvol_F19_stn",1323,1477,1,15,15,0.0667,46,1
"12","TREvol_F2_stn",1394,1461,1,15,15,0.0667,48,1
"13","TREvol_F20_stn",1183,1368,1,15,15,0.0667,40,1
"14","TREvol_F21_stn",1262,1332,1,15,10,0.4,59.5,4
"15","TREvol_F22_stn",1358,1461,1,14,5,0.2667,65.5,4
"16","TREvol_F23_stn",1330,1477,1,15,14,0.3333,9,1
"17","TREvol_F24_stn",1377,1480,1,15,12,0.3333,12,1
"18","TREvol_F3_stn",1378,1479,1,15,12,0.2,33,1
"19","TREvol_F4_stn",1399,1479,1,15,13,0.0667,60,1
"20","TREvol_F5_stn",1145,1415,1,15,8,0.2667,46.6667,3
"21","TREvol_F6_stn",1247,1347,1,14,14,0.0667,73,1
"22","TREvol_F7_stn",1323,1470,12,15,15,0.9333,47.0833,12
"23","TREvol_F8_stn",1282,1383,1,14,9,0.5333,49,1
"24","TREvol_F9_stn",1407,1476,1,15,11,0.0667,66.6667,3
