"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","TROptimistic_F1_stn",650,1005,1,11,3,3.7333,32,5
"2","TROptimistic_F10_stn",1365,1468,1,15,15,0.2667,38,1
"3","TROptimistic_F11_stn",1087,1439,1,15,15,0.2,27,1
"4","TROptimistic_F12_stn",1073,1346,1,15,13,0.8,47,1
"5","TROptimistic_F13_stn",1223,1418,1,15,15,0.3333,56,1
"6","TROptimistic_F14_stn",1333,1470,1,15,5,0.0667,69.3333,3
"7","TROptimistic_F15_stn",1083,1396,1,15,15,0.2,33,1
"8","TROptimistic_F16_stn",990,1402,1,14,15,0.2667,31,1
"9","TROptimistic_F17_stn",1067,1410,1,15,15,0.2667,33,1
"10","TROptimistic_F18_stn",963,1370,1,15,15,0.4,15,1
"11","TROptimistic_F19_stn",931,1410,1,15,15,0.4,17,1
"12","TROptimistic_F2_stn",1390,1469,1,15,15,0.1333,84,1
"13","TROptimistic_F20_stn",1146,1434,1,15,15,0.6667,33,1
"14","TROptimistic_F21_stn",1218,1413,1,15,14,0.3333,69,2
"15","TROptimistic_F22_stn",1169,1387,1,15,12,0.0667,94,1
"16","TROptimistic_F23_stn",952,1399,1,15,15,0.4667,11,1
"17","TROptimistic_F24_stn",1121,1431,1,15,15,0.2,17,1
"18","TROptimistic_F3_stn",1037,1355,1,15,15,0.0667,48,1
"19","TROptimistic_F4_stn",1068,1382,1,15,15,0.1333,40,1
"20","TROptimistic_F5_stn",318,382,1,3,3,2.2,16.8,5
"21","TROptimistic_F6_stn",1366,1461,1,15,15,0.0667,80,1
"22","TROptimistic_F7_stn",1273,1471,10,15,15,0.9333,46.6,10
"23","TROptimistic_F8_stn",1288,1432,1,15,13,0.0667,59,1
"24","TROptimistic_F9_stn",1281,1436,1,14,12,0.0667,67.5,2
