"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","TRPareto_F1_stn",1500,1485,1,15,15,0.0667,93,1
"2","TRPareto_F10_stn",1463,1481,1,15,15,0.0667,71,1
"3","TRPareto_F11_stn",1466,1483,1,15,15,0.0667,80,1
"4","TRPareto_F12_stn",1468,1478,1,15,15,0.0667,91,1
"5","TRPareto_F13_stn",1499,1485,1,15,15,0.0667,91,1
"6","TRPareto_F14_stn",1500,1485,1,15,15,0.0667,95,1
"7","TRPareto_F15_stn",1491,1483,1,15,15,0.0667,80,1
"8","TRPareto_F16_stn",1488,1484,1,15,15,0.0667,96,1
"9","TRPareto_F17_stn",1496,1484,1,15,15,0.0667,93,1
"10","TRPareto_F18_stn",1493,1485,1,15,15,0.0667,85,1
"11","TRPareto_F19_stn",1483,1484,1,15,15,0.0667,69,1
"12","TRPareto_F2_stn",1467,1480,1,15,15,0.0667,89,1
"13","TRPareto_F20_stn",1497,1484,1,15,15,0.0667,68,1
"14","TRPareto_F21_stn",1499,1485,1,15,15,0.0667,91,1
"15","TRPareto_F22_stn",1497,1485,1,15,15,0.0667,93,1
"16","TRPareto_F23_stn",1474,1483,1,15,15,0.0667,36,1
"17","TRPareto_F24_stn",1488,1485,1,15,15,0.0667,50,1
"18","TRPareto_F3_stn",1492,1485,1,15,15,0.1333,88,1
"19","TRPareto_F4_stn",1492,1483,1,15,15,0.0667,81,1
"20","TRPareto_F5_stn",1500,1485,1,15,15,0.0667,93,1
"21","TRPareto_F6_stn",1499,1485,1,15,15,0.0667,98,1
"22","TRPareto_F7_stn",1496,1484,1,15,15,0.0667,88,1
"23","TRPareto_F8_stn",1497,1485,1,15,15,0.0667,97,1
"24","TRPareto_F9_stn",1499,1485,1,15,15,0.0667,72,1
